Programmname	Beschreibung	Typ	Hersteller	Gruppe Anwendungsfall	Dateitypen	Link
						
Wscript		Windows Scripting Host			System(Default)	Microsoft	Interpreter	vbs, vbe	
Cscript		Windows Scripting Host Console	System(Default)	Microsoft	Interpreter	vbs, vbe	
Mshta		Html Application				System(Default)	Microsoft	Interpreter	hta	
cmd			Commandline						System(Default)	Microsoft	Interpreter	bat	
Ping		Netzwerkerreichbarkeit			System(Default)	Microsoft	Netzwerk		
Net			Netzwerktools					System(Default)	Microsoft	Netzwerk		
Tracert		Netzwerkverfolgung				System(Default)	Microsoft	Netzwerk		
Regedit	Systemregistrierung	System(Default)	Microsoft	Registrierung	reg	
Arp	Adress Resolution Protokoll	System(Default)	Microsoft	Netzwerk		
Attrib	Attribute	System(Default)	Microsoft	Dateisystem		
Calcs	Dateirechte	System(Default)	Microsoft	Dateisystem		
chkdsk	Festplattenüberprüfung	System(Default)	Microsoft	Dateisystem		
Clip	Zwischenablage	System(Default)	Microsoft	Zwischenablage		
Fsutil	Dateisystemaufgaben	System(Default)	Microsoft	Dateisystem		
FTP	File Transfer	System(Default)	Microsoft	Netzwerk		
gpUpdate	Group Policy Update	System(Default)	Microsoft	Gruppenrichtlinien		
gpResult	Group Policy Results	System(Default)	Microsoft	Gruppenrichtlinien		
gpScript	Group Policy Script	System(Default)	Microsoft	Gruppenrichtlinien		
NetSh	Netzwerkshell	System(Default)	Microsoft	Netzwerk		
NetStat	Netzwerkstatus	System(Default)	Microsoft	Netzwerk		
PathPing		System(Default)	Microsoft	Netzwerk		
RasDial	Anwahl über Modem	System(Default)	Microsoft	Netzwerk		
Runas	Ausführen als Benutzer X	System(Default)	Microsoft	Rechte		
Services	Dienste	System(Default)	Microsoft	Dienste		
SFC	System File Checker	System(Default)	Microsoft	Dateisystem		
Shutdown	Herunterfahren, Neustarten	System(Default)	Microsoft	System		
Systeminfo	Systeminformationen	System(Default)	Microsoft	System		
TakeOwn	Besizerrechte übernehmen	System(Default)	Microsoft	Dateisystem		
Taskkill	Tasks beenden	System(Default)	Microsoft	Tasks		
Tasklist	Tasks auflisten	System(Default)	Microsoft	Tasks		
TaskEng	TaskPlanungsprogramm	System(Default)	Microsoft	Geplante Tasks		
Xcopy	Dateien kopieren	System(Default)	Microsoft	Dateisystem		
wmic	WMI Management Console	System(Default)	Microsoft	System		
Dir	Verzeichnisinhalt	System(Default)	Microsoft	Dateisystem		
Tree	Verzeichnisstuktur	System(Default)	Microsoft	Dateisystem		
Set	Umgebungsvariablen	System(Default)	Microsoft	System		
						
Robocopy	Dateien kopieren	System(Additional)	Microsoft	Dateisystem		
Xcacls	Dateirechte	System(Additional)	Microsoft	Dateisystem		
Icalcs	Dateirechte	System(Additional)	Microsoft	Dateisystem		
						
AccessChk		System(Additional)	Sysinternals			
AccessEnum		System(Additional)	Sysinternals			
AdExplorer		System(Additional)	Sysinternals			
AdInsight		System(Additional)	Sysinternals			
AdRestore		System(Additional)	Sysinternals			
Autologon		System(Additional)	Sysinternals			
Autoruns		System(Additional)	Sysinternals			
BgInfo		System(Additional)	Sysinternals			
CacheSet		System(Additional)	Sysinternals			
ClockRes		System(Additional)	Sysinternals			
Contig		System(Additional)	Sysinternals			
Coreinfo		System(Additional)	Sysinternals			
Ctrl2Cap		System(Additional)	Sysinternals			
DebugView		System(Additional)	Sysinternals			
Desktops		System(Additional)	Sysinternals			
Disk2vhd		System(Additional)	Sysinternals			
DiskExt		System(Additional)	Sysinternals			
DiskMon		System(Additional)	Sysinternals			
DiskView		System(Additional)	Sysinternals			
Disk Usage (DU)		System(Additional)	Sysinternals			
EFSDump		System(Additional)	Sysinternals			
FindLinks		System(Additional)	Sysinternals			
Handle		System(Additional)	Sysinternals			
Hex2dec		System(Additional)	Sysinternals			
Junction		System(Additional)	Sysinternals			
LDMDump		System(Additional)	Sysinternals			
ListDLLs		System(Additional)	Sysinternals			
LiveKd		System(Additional)	Sysinternals			
LoadOrder		System(Additional)	Sysinternals			
LogonSessions		System(Additional)	Sysinternals			
MoveFile		System(Additional)	Sysinternals			
NTFSInfo		System(Additional)	Sysinternals			
PageDefrag		System(Additional)	Sysinternals			
PendMoves		System(Additional)	Sysinternals			
PipeList		System(Additional)	Sysinternals			
PortMon		System(Additional)	Sysinternals			
ProcDump		System(Additional)	Sysinternals			
Process Explorer		System(Additional)	Sysinternals			
Process Monitor		System(Additional)	Sysinternals			
PsExec		System(Additional)	Sysinternals			
PsFile		System(Additional)	Sysinternals			
PsGetSid		System(Additional)	Sysinternals			
PsInfo		System(Additional)	Sysinternals			
PsPing		System(Additional)	Sysinternals			
PsKill		System(Additional)	Sysinternals			
PsList		System(Additional)	Sysinternals			
PsLoggedOn		System(Additional)	Sysinternals			
PsLogList		System(Additional)	Sysinternals			
PsPasswd		System(Additional)	Sysinternals			
PsService		System(Additional)	Sysinternals			
PsShutdown		System(Additional)	Sysinternals			
PsSuspend		System(Additional)	Sysinternals			
RAMMap		System(Additional)	Sysinternals			
RegDelNull		System(Additional)	Sysinternals			
Registry Usage (RU)		System(Additional)	Sysinternals			
RegJump		System(Additional)	Sysinternals			
RootkitRevealer		System(Additional)	Sysinternals			
SDelete		System(Additional)	Sysinternals			
ShareEnum		System(Additional)	Sysinternals			
ShellRunas		System(Additional)	Sysinternals			
SigCheck		System(Additional)	Sysinternals			
Streams		System(Additional)	Sysinternals			
Strings		System(Additional)	Sysinternals			
Sync		System(Additional)	Sysinternals			
TCPView		System(Additional)	Sysinternals			
VMMap		System(Additional)	Sysinternals			
VolumeID		System(Additional)	Sysinternals			
WhoIs		System(Additional)	Sysinternals			
WinObj		System(Additional)	Sysinternals			
ZoomIt		System(Additional)	Sysinternals			
						
prncnfg		Script	Microsoft	Druck		
prndrvr		Script	Microsoft	Druck		
prnjobs		Script	Microsoft	Druck		
prnmngr		Script	Microsoft	Druck		
prnport		Script	Microsoft	Druck		
prnqctl		Script	Microsoft	Druck		
pubprn		Script	Microsoft	Druck		
						
						
R	Programmiersprache R	Programm	R	Interpreter	R	
Scilab	Programmiersprache Scilab	Programm	Scilab	Interpreter	scl	
Perl	Programmiersprache Perl	Programm	Perl	Interpreter	perl	
Python	Programmiersprache Python	Programm	Python	Interpreter	py,pyc	
LUA	Programmiersprache LUA	Programm	LUA	Interpreter	lua	
PHP	Programmiersprache PHP	Programm	PHP	Interpreter	php	
Java	Programmiersprache Java	Programm	Oracle	Interpreter	Jar	
Ruby	Programmiersprache Ruby	Programm	Ruby	Interpreter		
XULRunner	Programmiersprache XUL	Programm	Mozilla	Interpreter	xul	
AutoItx	Programmiersprache Autoitx	Programm	AutoItx	Interpreter, System	atx	
AutoHotkey	Tastenkombinationen	Programm				
7Zip	Komprimierung	Programm	Igor Pavlov	Komprimierung	zip, rar, tar, gz	
GraphWiz	Grafische Darstellungen	Programm	Graphwiz	Grafik	dot	
XMLStarlet	XML bearbeiten	Programm		Text	xml	
FSK166	Multifunktion	Programm		System		
Node.js	Programmiersprache Javascript	Programm	Node.js	Interpreter, Netzwerk	vbs	
Curl	Netzwerkanfragen	Programm		Netzwerk		
Wget	Netzwerkanfragen	Programm		Netzwerk		
ffmpeg	Videobearbeitung	Programm	ffmpeg	Multimedia	avi, mpeg, mpg, mp3, mp2, ogg	
ffplay	Video abspielprogramm	Programm	ffmpeg	Multimedia	avi, mpeg, mpg, mp3, mp2, ogg	
ffprobe	Video Testprogramm	Programm	ffmpeg	Multimedia	avi, mpeg, mpg, mp3, mp2, ogg	
ScrEnc	Windows Script Encoder	Programm	Microsoft		vbs, vbe	
Sendemail	Mail Senden	Programm		Netzwerk, Mail		
blat	Mail Senden	Programm		Netzwerk, Mail		
nmap	Netzwerkgeräte auflisten	Programm		Netzwerk		
netcat (ncat)	Netzwerktoolkit	Programm		Netzwerk		
AutoHotKey	Tastenkombinationen	Programm		System		
Aubio	Audio	Programm				
snmp	Simply Network Management	Programm		Netzwerk, SNMP		
espeak	Sprachausgabe (klingt hölzern)	Programm		Sprachausgabe		
wol	Wake on Lan	Programm		Netzwerk		
nircmd	Multifunktion	Programm		System		
sleep	Pause für x Sekunden	Programm		System		
sox	Audio bearbeitung	Programm		Audio	mp3, ogg	
tail	Dateiänderung überwachen	Programm		Text	txt, csv	
Julius	Spracherkennung	Programm		Spracherkennung		
CMU Sphinx	Spracherkennung	Programm		Spracherkennung		
GoogleCL	Google Dienste	Programm	Google	Netzwerk		
Fping	Netzwerkverfügbarkeit	Programm		Netzwerk		
Adb	Android 	Programm	Google			
Fastboot	Android 	Programm	Google			
Snort	Netzwerk, IDS	Programm	Snort			
Windump	Netzwerkmitschnitt	Programm	TCPDump			
AdinRec	Audio	Programm			wav	
DevCon	Gerätemanager	Programm	Microsoft			
Enhancer	Audio	Programm			mp3, ogg	
Exiv2	Bilder	Programm			jpeg	
Fciv	Prüfsummen	Programm			*	
Gzip	Komprimierung	Programm			zip	
SQLite3	Datenbank	Programm	SQLite			
Qemu	System Emulator	Programm			img, bin	
WSusOffline	Windows Updates (Paket)	Programm				
PDFTK	PDF Toolkit	Programm				
Nuget	Versionierung	Programm	NuGet			
Git	Versionierung 	Programm	Git			
SVN	Versionierung 	Programm	SVN			
neolog	Logging	Programm				
nginx	Webserver	Programm	Nginx		html	
sox	Sound Tool	Programm			mp3, ogg	
wavpack	Sound Tool	Programm			wav	
Tesseract	Texterkennung	Programm	Tesseract		jpg	
IsoInfo	Informationen über ISO Images	Programm			iso	
						
Mod_Key	Überwacht Systemereignisse	Deamon	NBHCREW			
Mod_Apache	Webserver	Deamon	NBHCREW			
Mod_T4e	Lieder auf Techno4Ever	Deamon	NBHCREW			
Mod_Serial	Serielle Kommunikation	Deamon	NBHCREW			
Mod_Faststart	Dateiindizierung	Deamon	NBHCREW			
Mod_Sprachausgabe2	Sprachausgabe über Google	Deamon	NBHCREW			
Mod_Wingui	Bedieninterface	Deamon	NBHCREW			
Mod_Webserver	Webserver	Deamon	NBHCREW			
Mod_SSH	Secure Shell	Deamon	NBHCREW			
Mod_Tinkerforge	Kommuniziert mit Tinkerforge	Deamon	NBHCREW			
Mod_Notices	Notizzettel	Programm	NBHCREW			
Mod_Messages	Nachrichtenausgabe	Programm	NBHCREW			
Mod_Sprachausgabe	Sprachausgabe über Google	Programm	NBHCREW			
Mod_Spracherkennung	Spracherkennung über Google	Programm	NBHCREW			
Mod_Spracherkennung2	Spracherkennung über WinSapi	Programm	NBHCREW			
Mod_Spracherkennung3	Spracherkennung über CMU Sphinx	Programm	NBHCREW			
Wget2	Netzwerkanfragen	Programm	NBHCREW			
Mod_Show	Webbrowser	Programm	NBHCREW			
GoogleMail	Mails	Programm	NBHCREW			
Mod_RSS	Rss-Feeds	Programm	NBHCREW			
Mod_Twitter	Twitter Nachrichten	Programm	NBHCREW			
Mod_Facebook	Facebook Nachrichten	Programm	NBHCREW			
Mod_TV	Tv-Programm	Programm	NBHCREW			
Mod_Wetter	Wetterdaten	Programm	NBHCREW			
Mod_YesNo	Benutzereingabe	Programm	NBHCREW			
Mod_SPDNS	Updated die IP über SPDNS	Programm	NBHCREW			
						
Mod_Events	Überwacht Systemereignisse	VB-Script	NBHCREW			
Piep	Gibt ein Piepen aus 	VB-Script	NBHCREW			
Input	Benutzereingabe	VB-Script	NBHCREW			
JaNein	Benutzereingabe	VB-Script	NBHCREW			
						
Studierstube	Audio, Video, Augemented Reality	Programmpaket			avi, mpeg, mpg, mp3, mp2, ogg	
Tex	Dokumente	Programmpaket	MikTex		Tex	
Gimp	Grafik	Programmpaket	Gimp			
ImageMagick	Grafik					
Metasploit	Pentest Programme	Programmpaket				
GNU CoreUtils	Unix-Tools für Windows	Programmpaket	GNU			Link
UNXUtils	Unix-Tools für Windows 2	Programmpaket	GNU			Link
						
Wireshark	Netzwerkmitschnitt (CMD-Interface)	Programm(GUI)			dmp	
